City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,zeya,53.75,127.2667,-19.95,89,33,1.28,RU,1675396746
151,katsuura,35.1333,140.3,6.76,84,100,7.32,JP,1675396746
152,zhigansk,66.7697,123.3711,-32.11,97,99,3.22,RU,1675396746
153,castro,-24.7911,-50.0119,18.07,97,100,3.4,BR,1675396747
154,bubaque,11.2833,-15.8333,24.89,55,14,6.17,GW,1675396747
155,biloela,-24.4167,150.5,32.16,37,100,5.0,AU,1675396748
156,ribeira grande,38.5167,-28.7,15.99,89,17,5.36,PT,1675396748
157,talcahuano,-36.7167,-73.1167,17.82,68,75,5.14,CL,1675396749
158,lebu,-37.6167,-73.65,15.39,86,0,10.08,CL,1675396749
159,cabo san lucas,22.8909,-109.9124,18.62,72,100,1.37,MX,1675396720
160,navalmoral de la mata,39.8916,-5.5406,8.31,63,0,0.29,ES,1675396749
161,san cristobal,7.7669,-72.225,19.1,60,0,0.8,VE,1675396750
162,torbay,47.6666,-52.7314,-6.57,81,100,5.14,CA,1675396750
163,rocha,-34.4833,-54.3333,18.86,91,100,1.95,UY,1675396750
164,bethel,41.3712,-73.414,2.17,55,0,4.63,US,1675396603
165,mantua,45.1667,10.7833,2.58,96,1,2.13,IT,1675396751
166,ponta do sol,32.6667,-17.1,14.35,62,53,2.49,PT,1675396751
167,chulman,56.8479,124.9104,-16.89,88,100,1.07,RU,1675396752
168,pisco,-13.7,-76.2167,22.03,88,0,2.57,PE,1675396752
169,namibe,-15.1961,12.1522,22.38,75,98,1.72,AO,1675396752
170,mahebourg,-20.4081,57.7,25.7,94,75,1.54,MU,1675396753
171,kidal,18.4411,1.4078,16.66,15,57,5.8,ML,1675396753
172,vao,-22.6667,167.4833,27.33,81,79,5.79,NC,1675396754
173,tabuk,17.4189,121.4443,27.7,66,51,1.64,PH,1675396754
174,christchurch,-43.5333,172.6333,33.11,37,37,4.12,NZ,1675396754
175,ahipara,-35.1667,173.1667,24.17,81,97,4.36,NZ,1675396755
176,flagstaff,35.1981,-111.6513,-0.55,67,0,0.0,US,1675396755
177,ilulissat,69.2167,-51.1,-18.58,94,100,3.19,GL,1675396756
178,provideniya,64.3833,-173.3,-11.94,72,40,6.0,RU,1675396756
179,axim,4.8699,-2.2405,25.88,88,7,1.85,GH,1675396756
180,talnakh,69.4865,88.3972,-12.26,96,100,3.15,RU,1675396757
181,okha,53.5739,142.9478,-22.36,90,97,6.8,RU,1675396757
182,bandarbeyla,9.4942,50.8122,23.61,67,14,6.59,SO,1675396757
183,alta floresta,-9.8756,-56.0861,21.55,96,29,0.84,BR,1675396758
184,paita,-5.0892,-81.1144,23.78,78,46,3.75,PE,1675396758
185,roman,46.9167,26.9167,0.0,81,83,4.34,RO,1675396758
186,guerrero negro,27.9769,-114.0611,15.51,56,33,3.1,MX,1675396306
187,puerto ayacucho,5.6639,-67.6236,25.08,58,54,1.99,VE,1675396759
188,jasper,37.2001,-94.3502,2.03,48,0,2.06,US,1675396759
189,carolina,18.3808,-65.9574,24.94,90,40,1.54,PR,1675396708
190,bourg-en-bresse,46.1667,5.1667,6.28,86,68,1.24,FR,1675396629
191,nanortalik,60.1432,-45.2371,-13.04,86,97,1.53,GL,1675396760
192,buj,58.4786,41.53,-4.33,95,100,3.56,RU,1675396760
193,arraial do cabo,-22.9661,-42.0278,24.21,92,50,7.86,BR,1675396761
194,saint-joseph,-21.3667,55.6167,25.21,81,39,4.85,RE,1675396761
195,upernavik,72.7868,-56.1549,-22.83,89,100,1.93,GL,1675396761
196,orissaare,58.5592,23.0826,-3.03,80,98,3.17,EE,1675396762
197,bull savanna,17.8868,-77.5902,21.91,83,21,3.56,JM,1675396762
198,niquero,20.0431,-77.5828,23.2,79,3,2.74,CU,1675396763
199,saint-michel-des-saints,46.6834,-73.9159,-19.17,86,100,7.43,CA,1675396763
200,tiksi,71.6872,128.8694,-32.62,96,83,2.2,RU,1675396764
201,waipawa,-41.4122,175.5153,23.24,62,100,3.77,NZ,1675396764
202,pangnirtung,66.1451,-65.7125,-29.59,99,100,1.36,CA,1675396764
203,ruidoso,33.3317,-105.673,2.51,51,0,2.57,US,1675396765
204,jalu,29.0331,21.5482,10.38,52,78,1.96,LY,1675396765
205,barranca,-10.75,-77.7667,21.89,83,100,2.81,PE,1675396765
206,innisfail,-17.5333,146.0333,29.59,80,86,2.78,AU,1675396766
207,chapais,49.7834,-74.8492,-27.12,87,100,6.59,CA,1675396766
208,cayenne,4.9333,-52.3333,23.02,94,100,0.0,GF,1675396766
209,iberia,29.9502,-91.7507,6.04,87,100,7.2,US,1675396767
210,los llanos de aridane,28.6585,-17.9182,12.86,63,0,4.12,ES,1675396767
211,wukari,7.85,9.7833,22.05,29,3,2.1,NG,1675396767
212,north platte,41.1239,-100.7654,-11.05,85,75,2.68,US,1675396641
213,pacific grove,36.6177,-121.9166,14.48,48,0,5.81,US,1675396768
214,bayir,37.2687,28.2167,-0.71,78,6,1.18,TR,1675396768
215,prince rupert,54.3161,-130.3201,7.05,93,100,10.29,CA,1675396516
216,richards bay,-28.783,32.0377,22.59,94,82,2.23,ZA,1675396769
217,ust-kulom,61.6864,53.6902,-12.32,96,95,2.3,RU,1675396769
218,viedma,-40.8135,-62.9967,19.98,74,2,4.97,AR,1675396769
219,linares,-35.85,-71.6,19.06,43,0,2.54,CL,1675396707
220,inirida,3.8653,-67.9239,24.55,67,80,1.26,CO,1675396770
221,boyabat,41.4689,34.7667,-1.51,92,67,0.34,TR,1675396770
222,awjilah,29.1081,21.2869,10.65,52,80,2.15,LY,1675396771
223,kamaishi,39.2667,141.8833,1.33,49,98,4.02,JP,1675396771
224,bibbiena,43.6965,11.8135,1.44,96,20,0.13,IT,1675396771
225,lexington,37.9887,-84.4777,0.0,84,0,4.63,US,1675396206
226,areia branca,-4.9561,-37.1369,26.28,74,97,7.28,BR,1675396772
227,muros,42.7762,-9.0603,8.05,74,0,2.26,ES,1675396772
228,dwarka,22.2394,68.9678,21.62,42,53,4.28,IN,1675396773
229,kaniama,-7.5667,24.1833,17.85,95,100,1.29,CD,1675396773
230,dudinka,69.4058,86.1778,-10.49,96,100,3.81,RU,1675396773
